"Database","Comparison","Pathway","GeneRatio","BgRatio","GeneCount","PValue","AdjustedPValue","QValue"
"KEGG","D7_vs_D0","Necroptosis","27/810","168/9424",27,0.00106745446370392,0.0182000986061519,0.0182000986061519
"KEGG","D7_vs_D0","Lipid and atherosclerosis","32/810","216/9424",32,0.00158604794904842,0.0257543976488338,0.0257543976488338
"KEGG","D7_vs_D0","Staphylococcus aureus infection","18/810","99/9424",18,0.00174633527713458,0.027068196795586,0.027068196795586
"KEGG","D7_vs_D0","Toll-like receptor signaling pathway","19/810","109/9424",19,0.00219489357458452,0.0325416829971009,0.0325416829971009
"KEGG","D7_vs_D0","Coronavirus disease","34/810","239/9424",34,0.00230745224670205,0.0327850506718917,0.0327850506718917
"KEGG","D7_vs_D0","Kaposi sarcoma-associated herpesvirus infection","29/810","196/9424",29,0.00262246233490696,0.0357703862481309,0.0357703862481309
"KEGG","D7_vs_D0","Hepatitis B","25/810","163/9424",25,0.00309336807806624,0.0405707121007918,0.0405707121007918
"Reactome","D7_vs_D0","Neutrophil degranulation","99/1061","475/11287",99,9.41146791365666e-15,1.38348578330753e-11,1.38348578330753e-11
"Reactome","D7_vs_D0","Interferon gamma signaling","35/1061","96/11287",35,4.50503973071203e-13,3.31120420207334e-10,3.31120420207334e-10
"Reactome","D7_vs_D0","Interferon Signaling","57/1061","266/11287",57,1.86207289512686e-09,9.12415718612161e-07,9.12415718612161e-07
"Reactome","D7_vs_D0","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","35/1061","131/11287",35,7.66198701296268e-09,2.81578022726379e-06,2.81578022726379e-06
"Reactome","D7_vs_D0","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","26/1061","95/11287",26,3.84835912770796e-07,0.000113141758354614,0.000113141758354614
"Reactome","D7_vs_D0","Modulation of host responses by IFN-stimulated genes","10/1061","17/11287",10,5.43195699222392e-07,0.000133082946309486,0.000133082946309486
"Reactome","D7_vs_D0","Assembly of the ORC complex at the origin of replication","20/1061","68/11287",20,2.47746768567397e-06,0.000520268213991534,0.000520268213991534
"Reactome","D7_vs_D0","Transcriptional regulation of granulopoiesis","23/1061","89/11287",23,5.21427326645637e-06,0.000958122712711358,0.000958122712711358
"Reactome","D7_vs_D0","Non-canonical inflammasome activation","7/1061","10/11287",7,5.92050467133261e-06,0.000967015762984327,0.000967015762984327
"Reactome","D7_vs_D0","Caspase activation via Death Receptors in the presence of ligand","9/1061","17/11287",9,6.71348607876087e-06,0.000986882453577849,0.000986882453577849
"Reactome","D7_vs_D0","FXIIa activates plasma kallikrein-kinin system","19/1061","68/11287",19,1.00893647089635e-05,0.00128454966571336,0.00128454966571336
"Reactome","D7_vs_D0","Regulated Necrosis","17/1061","57/11287",17,1.13599630301181e-05,0.00128454966571336,0.00128454966571336
"Reactome","D7_vs_D0","Interferon alpha/beta signaling","17/1061","57/11287",17,1.13599630301181e-05,0.00128454966571336,0.00128454966571336
"Reactome","D7_vs_D0","Caspase activation via extrinsic apoptotic signalling pathway","11/1061","27/11287",11,1.521355090991e-05,0.00159742284554055,0.00159742284554055
"Reactome","D7_vs_D0","Replacement of protamines by nucleosomes in the male pronucleus","14/1061","42/11287",14,1.64626817940477e-05,0.00161334281581668,0.00161334281581668
"Reactome","D7_vs_D0","Toll-like Receptor Cascades","34/1061","171/11287",34,1.92204656695537e-05,0.00176588028339025,0.00176588028339025
"Reactome","D7_vs_D0","Diseases of programmed cell death","24/1061","104/11287",24,2.6086035429105e-05,0.00225567482828144,0.00225567482828144
"Reactome","D7_vs_D0","Butyrophilin (BTN) family interactions","7/1061","12/11287",7,3.29749697409073e-05,0.0026929558621741,0.0026929558621741
"Reactome","D7_vs_D0","Bacterial Infection Pathways","24/1061","106/11287",24,3.64003668748882e-05,0.00281384685672075,0.00281384685672075
"Reactome","D7_vs_D0","RNA Polymerase I Promoter Opening","17/1061","62/11287",17,3.82836307036837e-05,0.00281384685672075,0.00281384685672075
"Reactome","D7_vs_D0","Regulation of PD-L1(CD274) transcription","23/1061","100/11287",23,4.04018119025835e-05,0.00282812683318084,0.00282812683318084
"Reactome","D7_vs_D0","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression","19/1061","75/11287",19,4.57204179128192e-05,0.00305495519690201,0.00305495519690201
"Reactome","D7_vs_D0","Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex","18/1061","70/11287",18,5.82224417864847e-05,0.00365049835345065,0.00365049835345065
"Reactome","D7_vs_D0","DNA methylation","17/1061","64/11287",17,5.95999731175616e-05,0.00365049835345065,0.00365049835345065
"Reactome","D7_vs_D0","Programmed Cell Death","36/1061","197/11287",36,7.2869390767096e-05,0.00428472017710524,0.00428472017710524
"Reactome","D7_vs_D0","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3","17/1061","66/11287",17,9.07607923631248e-05,0.00513147556822282,0.00513147556822282
"Reactome","D7_vs_D0","DNA Damage/Telomere Stress Induced Senescence","19/1061","79/11287",19,9.80218358280563e-05,0.00533674439508307,0.00533674439508307
"Reactome","D7_vs_D0","TRIF-mediated programmed cell death","6/1061","10/11287",6,0.000102498036608424,0.00538114692194228,0.00538114692194228
"Reactome","D7_vs_D0","SIRT1 negatively regulates rRNA expression","17/1061","67/11287",17,0.000111133184936612,0.00563330282264893,0.00563330282264893
"Reactome","D7_vs_D0","Enterobacterial factors antagonize host defense","7/1061","14/11287",7,0.000120644782219996,0.00591159432877981,0.00591159432877981
"Reactome","D7_vs_D0","HDACs deacetylate histones","21/1061","94/11287",21,0.000134466350325071,0.00622024074448964,0.00622024074448964
"Reactome","D7_vs_D0","Nonhomologous End-Joining (NHEJ)","17/1061","68/11287",17,0.000135406601240591,0.00622024074448964,0.00622024074448964
"Reactome","D7_vs_D0","ChAHP complex assembly","16/1061","62/11287",16,0.000141622283137909,0.0063086289761432,0.0063086289761432
"Reactome","D7_vs_D0","PRC2 methylates histones and DNA","18/1061","75/11287",18,0.000152718098030028,0.0066028118854159,0.0066028118854159
"Reactome","D7_vs_D0","Antimicrobial peptides","21/1061","95/11287",21,0.000157628115637004,0.00662038085675417,0.00662038085675417
"Reactome","D7_vs_D0","Packaging Of Telomere Ends","14/1061","51/11287",14,0.00018008422876673,0.00728334030786743,0.00728334030786743
"Reactome","D7_vs_D0","Amyloid fiber formation","23/1061","110/11287",23,0.000190149714853358,0.00728334030786743,0.00728334030786743
"Reactome","D7_vs_D0","Toll Like Receptor 4 (TLR4) Cascade","28/1061","146/11287",28,0.000194085955954745,0.00728334030786743,0.00728334030786743
"Reactome","D7_vs_D0","Nicotinate metabolism","10/1061","29/11287",10,0.000195409508331144,0.00728334030786743,0.00728334030786743
"Reactome","D7_vs_D0","Chromatin modifications during the maternal to zygotic transition (MZT)","17/1061","70/11287",17,0.000198186130826325,0.00728334030786743,0.00728334030786743
"Reactome","D7_vs_D0","Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)","21/1061","97/11287",21,0.000214731407199476,0.00769890655081049,0.00769890655081049
"Reactome","D7_vs_D0","Defective pyroptosis","17/1061","72/11287",17,0.000284932756887598,0.00997264649106594,0.00997264649106594
"Reactome","D7_vs_D0","Cellular Senescence","34/1061","196/11287",34,0.000319930435967013,0.0109371567644537,0.0109371567644537
"Reactome","D7_vs_D0","Regulation of endogenous retroelements by KRAB-ZFP proteins","22/1061","107/11287",22,0.000333915984851604,0.011089856094393,0.011089856094393
"Reactome","D7_vs_D0","Condensation of Prophase Chromosomes","17/1061","73/11287",17,0.000339485390644682,0.011089856094393,0.011089856094393
"Reactome","D7_vs_D0","Inhibition of DNA recombination at telomere","16/1061","67/11287",16,0.000371753023147753,0.0118799335658086,0.0118799335658086
"Reactome","D7_vs_D0","Recognition and association of DNA glycosylase with site containing an affected purine","14/1061","55/11287",14,0.000424726409662434,0.012741792289873,0.012741792289873
"Reactome","D7_vs_D0","Cleavage of the damaged purine","14/1061","55/11287",14,0.000424726409662434,0.012741792289873,0.012741792289873
"Reactome","D7_vs_D0","Depurination","14/1061","55/11287",14,0.000424726409662434,0.012741792289873,0.012741792289873
"Reactome","D7_vs_D0","Oxidative Stress Induced Senescence","24/1061","124/11287",24,0.00047090873393157,0.0138447167775882,0.0138447167775882
"Reactome","D7_vs_D0","RSV-host interactions","20/1061","96/11287",20,0.000512028588619031,0.0144746543321149,0.0144746543321149
"Reactome","D7_vs_D0","Pre-NOTCH Transcription and Translation","20/1061","96/11287",20,0.000512028588619031,0.0144746543321149,0.0144746543321149
"Reactome","D7_vs_D0","Transcriptional regulation by small RNAs","17/1061","76/11287",17,0.000560677624049366,0.015192119713999,0.015192119713999
"Reactome","D7_vs_D0","CHD6, CHD7, CHD8, CHD9 subfamily","17/1061","76/11287",17,0.000560677624049366,0.015192119713999,0.015192119713999
"Reactome","D7_vs_D0","RNA Polymerase I Transcription","22/1061","111/11287",22,0.000569549763303083,0.015192119713999,0.015192119713999
"Reactome","D7_vs_D0","RNA Polymerase I Promoter Escape","19/1061","90/11287",19,0.000589082192991797,0.015192119713999,0.015192119713999
"Reactome","D7_vs_D0","Interaction of NuRD complexes with transcription factors","19/1061","90/11287",19,0.000589082192991797,0.015192119713999,0.015192119713999
"Reactome","D7_vs_D0","Respiratory Syncytial Virus Infection Pathway","23/1061","119/11287",23,0.000625303025464283,0.0152457627378585,0.0152457627378585
"Reactome","D7_vs_D0","Pre-NOTCH Expression and Processing","22/1061","112/11287",22,0.000647282476309631,0.0152457627378585,0.0152457627378585
"Reactome","D7_vs_D0","GBP-mediated host defense","6/1061","13/11287",6,0.000653389831622507,0.0152457627378585,0.0152457627378585
"Reactome","D7_vs_D0","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10","6/1061","13/11287",6,0.000653389831622507,0.0152457627378585,0.0152457627378585
"Reactome","D7_vs_D0","Erythrocytes take up carbon dioxide and release oxygen","6/1061","13/11287",6,0.000653389831622507,0.0152457627378585,0.0152457627378585
"Reactome","D7_vs_D0","O2/CO2 exchange in erythrocytes","6/1061","13/11287",6,0.000653389831622507,0.0152457627378585,0.0152457627378585
"Reactome","D7_vs_D0","Formation of the beta-catenin:TCF transactivating complex","19/1061","92/11287",19,0.000783453407714427,0.0179949454584407,0.0179949454584407
"Reactome","D7_vs_D0","O-linked glycosylation of mucins","15/1061","65/11287",15,0.00082543117949684,0.0186674435978516,0.0186674435978516
"Reactome","D7_vs_D0","Toll Like Receptor 7/8 (TLR7/8) Cascade","21/1061","107/11287",21,0.00086061766940813,0.0188900624212181,0.0188900624212181
"Reactome","D7_vs_D0","Infection with Enterobacteria","11/1061","40/11287",11,0.000860975634164361,0.0188900624212181,0.0188900624212181
"Reactome","D7_vs_D0","Meiotic recombination","18/1061","87/11287",18,0.00104239518353925,0.02185798713925,0.02185798713925
"Reactome","D7_vs_D0","Regulation of IFNG signaling","6/1061","14/11287",6,0.00105294861867439,0.02185798713925,0.02185798713925
"Reactome","D7_vs_D0","Negative regulators of DDX58/IFIH1 signaling","10/1061","35/11287",10,0.00106310305428185,0.02185798713925,0.02185798713925
"Reactome","D7_vs_D0","Recognition and association of DNA glycosylase with site containing an affected pyrimidine","14/1061","60/11287",14,0.00108546466745936,0.02185798713925,0.02185798713925
"Reactome","D7_vs_D0","Cleavage of the damaged pyrimidine","14/1061","60/11287",14,0.00108546466745936,0.02185798713925,0.02185798713925
"Reactome","D7_vs_D0","Depyrimidination","14/1061","60/11287",14,0.00108546466745936,0.02185798713925,0.02185798713925
"Reactome","D7_vs_D0","RNA Polymerase I Promoter Clearance","21/1061","109/11287",21,0.00110427554858126,0.0219362845461413,0.0219362845461413
"Reactome","D7_vs_D0","Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)","7/1061","19/11287",7,0.0011629336314151,0.0224935847128973,0.0224935847128973
"Reactome","D7_vs_D0","Defective C1GALT1C1 causes TNPS","7/1061","19/11287",7,0.0011629336314151,0.0224935847128973,0.0224935847128973
"Reactome","D7_vs_D0","MyD88-independent TLR4 cascade","21/1061","110/11287",21,0.0012468424872333,0.0232007399523159,0.0232007399523159
"Reactome","D7_vs_D0","TRIF (TICAM1)-mediated TLR4 signaling","21/1061","110/11287",21,0.0012468424872333,0.0232007399523159,0.0232007399523159
"Reactome","D7_vs_D0","Toll Like Receptor 9 (TLR9) Cascade","21/1061","110/11287",21,0.0012468424872333,0.0232007399523159,0.0232007399523159
"Reactome","D7_vs_D0","Epigenetic regulation of gene expression by MLL3 and MLL4 complexes","24/1061","133/11287",24,0.00132545035882109,0.0237567225322466,0.0237567225322466
"Reactome","D7_vs_D0","MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis","24/1061","133/11287",24,0.00132545035882109,0.0237567225322466,0.0237567225322466
"Reactome","D7_vs_D0","Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes","24/1061","133/11287",24,0.00132545035882109,0.0237567225322466,0.0237567225322466
"Reactome","D7_vs_D0","NuRD complex assembly","19/1061","96/11287",19,0.00134136596610644,0.0237567225322466,0.0237567225322466
"Reactome","D7_vs_D0","Senescence-Associated Secretory Phenotype (SASP)","21/1061","111/11287",21,0.00140487745615036,0.0245853554826312,0.0245853554826312
"Reactome","D7_vs_D0","Pyroptosis","8/1061","25/11287",8,0.0014969958514628,0.0258892223723567,0.0258892223723567
"Reactome","D7_vs_D0","Base-Excision Repair, AP Site Formation","14/1061","62/11287",14,0.00152417878551409,0.0260528234268107,0.0260528234268107
"Reactome","D7_vs_D0","Regulation of TBK1, IKKε (IKBKE)-mediated activation of IRF3, IRF7","6/1061","15/11287",6,0.00161631717486416,0.0269998437164809,0.0269998437164809
"Reactome","D7_vs_D0","TRAF3-dependent IRF activation pathway","6/1061","15/11287",6,0.00161631717486416,0.0269998437164809,0.0269998437164809
"Reactome","D7_vs_D0","Diseases of Immune System","10/1061","37/11287",10,0.00169647379293556,0.0280204098383738,0.0280204098383738
"Reactome","D7_vs_D0","Antimicrobial mechanism of IFN-stimulated genes","27/1061","159/11287",27,0.00175455810583597,0.0286577823953209,0.0286577823953209
"Reactome","D7_vs_D0","Fatty acid metabolism","29/1061","175/11287",29,0.00178116802224592,0.028772714205511,0.028772714205511
"Reactome","D7_vs_D0","NoRC negatively regulates rRNA expression","20/1061","106/11287",20,0.00186752024070878,0.0298397255852381,0.0298397255852381
"Reactome","D7_vs_D0","Maturation of nucleoprotein","5/1061","11/11287",5,0.00207165467053587,0.0312956481260793,0.0312956481260793
"Reactome","D7_vs_D0","Regulation by c-FLIP","5/1061","11/11287",5,0.00207165467053587,0.0312956481260793,0.0312956481260793
"Reactome","D7_vs_D0","CASP8 activity is inhibited","5/1061","11/11287",5,0.00207165467053587,0.0312956481260793,0.0312956481260793
"Reactome","D7_vs_D0","Dimerization of procaspase-8","5/1061","11/11287",5,0.00207165467053587,0.0312956481260793,0.0312956481260793
"Reactome","D7_vs_D0","RIPK1-mediated regulated necrosis","9/1061","32/11287",9,0.00212019759391131,0.0312956481260793,0.0312956481260793
"Reactome","D7_vs_D0","Regulation of necroptotic cell death","9/1061","32/11287",9,0.00212019759391131,0.0312956481260793,0.0312956481260793
"Reactome","D7_vs_D0","Diseases associated with the TLR signaling cascade","9/1061","32/11287",9,0.00212019759391131,0.0312956481260793,0.0312956481260793
"Reactome","D7_vs_D0","Meiotic synapsis","16/1061","78/11287",16,0.00212895565483533,0.0312956481260793,0.0312956481260793
"Reactome","D7_vs_D0","CHD3, CHD4, CHD5 subfamily","19/1061","100/11287",19,0.00220640803651185,0.0321130674621032,0.0321130674621032
"Reactome","D7_vs_D0","Regulation of PD-L1(CD274) expression","31/1061","194/11287",31,0.0022821586251556,0.0325570885346221,0.0325570885346221
"Reactome","D7_vs_D0","Negative Regulation of CDH1 Gene Transcription","18/1061","93/11287",18,0.00230335864462633,0.0325570885346221,0.0325570885346221
"Reactome","D7_vs_D0","RHO GTPases activate PKNs","18/1061","93/11287",18,0.00230335864462633,0.0325570885346221,0.0325570885346221
"Reactome","D7_vs_D0","Negative epigenetic regulation of rRNA expression","20/1061","109/11287",20,0.00263512400223401,0.0368917360312761,0.0368917360312761
"Reactome","D7_vs_D0","Regulation of CDH1 Gene Transcription","19/1061","103/11287",19,0.0031283469439763,0.0429782243705156,0.0429782243705156
"Reactome","D7_vs_D0","MyD88 dependent cascade initiated on endosome","19/1061","103/11287",19,0.0031283469439763,0.0429782243705156,0.0429782243705156
"Reactome","D7_vs_D0","Regulation of endogenous retroelements","24/1061","142/11287",24,0.00327250000961579,0.0441914672927538,0.0441914672927538
"Reactome","D7_vs_D0","TP53 Regulates Transcription of Caspase Activators and Caspases","5/1061","12/11287",5,0.00327846312137946,0.0441914672927538,0.0441914672927538
"Reactome","D7_vs_D0","G2/M DNA damage checkpoint","18/1061","96/11287",18,0.00330712002661084,0.0441914672927538,0.0441914672927538
"Reactome","D7_vs_D0","Dectin-2 family","8/1061","28/11287",8,0.00333690671394264,0.0441914672927538,0.0441914672927538
"Reactome","D7_vs_D0","MyD88 deficiency (TLR2/4)","6/1061","17/11287",6,0.00339211619698393,0.044521525085414,0.044521525085414
"Reactome","D7_vs_D0","Apoptosis","27/1061","167/11287",27,0.00359004776008338,0.046702391215244,0.046702391215244
"Reactome","D7_vs_D0","Processing of DNA double-strand break ends","18/1061","97/11287",18,0.00371326974650102,0.0478816362048816,0.0478816362048816
"Reactome","D7_vs_D0","Positive epigenetic regulation of rRNA expression","19/1061","105/11287",19,0.00390608498371255,0.0496410461039556,0.0496410461039556
"Reactome","D7_vs_D0","B-WICH complex positively regulates rRNA expression","17/1061","90/11287",17,0.00391725261772711,0.0496410461039556,0.0496410461039556
"GO-BP","D7_vs_D3","defense response to virus","15/33","305/18842",15,7.76636092103565e-19,2.65707306091153e-16,1.74737654809394e-16
"GO-BP","D7_vs_D3","response to virus","16/33","400/18842",16,1.06070780874712e-18,2.65707306091153e-16,1.74737654809394e-16
"GO-BP","D7_vs_D3","antiviral innate immune response","7/33","73/18842",7,3.8459360901693e-11,6.42271327058272e-09,4.22378244288768e-09
"GO-BP","D7_vs_D3","negative regulation of viral genome replication","6/33","48/18842",6,2.07850181224272e-10,2.60332351983401e-08,1.71202912429466e-08
"GO-BP","D7_vs_D3","negative regulation of viral process","6/33","74/18842",6,3.03888850422975e-09,3.04496628123821e-07,2.00246758278718e-07
"GO-BP","D7_vs_D3","regulation of viral genome replication","6/33","77/18842",6,3.87499211180737e-09,3.23561841335915e-07,2.1278465456065e-07
"GO-BP","D7_vs_D3","viral genome replication","6/33","110/18842",6,3.36115971218455e-08,2.10492626975557e-06,1.38426709199179e-06
"GO-BP","D7_vs_D3","regulation of viral life cycle","6/33","110/18842",6,3.36115971218455e-08,2.10492626975557e-06,1.38426709199179e-06
"GO-BP","D7_vs_D3","cellular response to type I interferon","6/33","116/18842",6,4.62207391718988e-08,2.57295448056903e-06,1.69205746909992e-06
"GO-BP","D7_vs_D3","response to type I interferon","6/33","122/18842",6,6.25010259957169e-08,3.13130140238542e-06,2.05924433017467e-06
"GO-BP","D7_vs_D3","regulation of viral process","6/33","136/18842",6,1.19433633829962e-07,5.439659140801e-06,3.57729448696441e-06
"GO-BP","D7_vs_D3","type I interferon-mediated signaling pathway","5/33","80/18842",5,2.62838283928437e-07,1.09734983540122e-05,7.21652481312287e-06
"GO-BP","D7_vs_D3","viral life cycle","7/33","284/18842",7,5.01363071781421e-07,1.93217614586532e-05,1.27066106451486e-05
"GO-BP","D7_vs_D3","interleukin-27-mediated signaling pathway","3/33","10/18842",3,5.82455041140969e-07,2.08435696865447e-05,1.37074005922649e-05
"GO-BP","D7_vs_D3","interferon-mediated signaling pathway","5/33","105/18842",5,1.02349471189421e-06,3.41847233772667e-05,2.24809715665185e-05
"GO-BP","D7_vs_D3","cellular response to exogenous dsRNA","3/33","15/18842",3,2.19532299601398e-06,6.87410513126878e-05,4.52063222205511e-05
"GO-BP","D7_vs_D3","negative regulation of response to biotic stimulus","5/33","131/18842",5,3.05430187403837e-06,9.0012072876072e-05,5.91948288900316e-05
"GO-BP","D7_vs_D3","viral process","7/33","383/18842",7,3.67539015727699e-06,9.35921394194294e-05,6.15491955841609e-05
"GO-BP","D7_vs_D3","regulation of type I interferon production","5/33","137/18842",5,3.80548498434357e-06,9.35921394194294e-05,6.15491955841609e-05
"GO-BP","D7_vs_D3","type I interferon production","5/33","137/18842",5,3.80548498434357e-06,9.35921394194294e-05,6.15491955841609e-05
"GO-BP","D7_vs_D3","cellular response to dsRNA","3/33","18/18842",3,3.92302380800003e-06,9.35921394194294e-05,6.15491955841609e-05
"GO-BP","D7_vs_D3","negative regulation of type I interferon-mediated signaling pathway","3/33","21/18842",3,6.37127509878968e-06,0.000145091310204256,9.54167036325918e-05
"GO-BP","D7_vs_D3","regulation of innate immune response","7/33","482/18842",7,1.64673367228376e-05,0.000358701552093114,0.00023589365648733
"GO-BP","D7_vs_D3","defense response to bacterium","6/33","322/18842",6,1.78439650858202e-05,0.000372492771166497,0.000244963204906216
"GO-BP","D7_vs_D3","negative regulation of innate immune response","4/33","94/18842",4,2.12743287948671e-05,0.000426337549049136,0.000280373259486037
"GO-BP","D7_vs_D3","negative regulation of immune response","5/33","202/18842",5,2.50562227911453e-05,0.000482814139167838,0.000317514078284554
"GO-BP","D7_vs_D3","response to exogenous dsRNA","3/33","35/18842",3,3.08336587227167e-05,0.000572135667410411,0.000376254782854204
"GO-BP","D7_vs_D3","response to dsRNA","3/33","39/18842",3,4.28490023459638e-05,0.000766691077690281,0.000504200666702506
"GO-BP","D7_vs_D3","regulation of type I interferon-mediated signaling pathway","3/33","41/18842",3,4.98611941479543e-05,0.000861395112693968,0.000566481080519408
"GO-BP","D7_vs_D3","positive regulation of interferon-beta production","3/33","42/18842",3,5.36326314013406e-05,0.000895664944402389,0.000589018022056829
"GO-BP","D7_vs_D3","intracellular receptor signaling pathway","6/33","399/18842",6,5.92576947447597e-05,0.000957680808616923,0.000629801645334798
"GO-BP","D7_vs_D3","pattern recognition receptor signaling pathway","5/33","291/18842",5,0.000141344186970095,0.00208399338540643,0.00137050095521003
"GO-BP","D7_vs_D3","interferon-beta production","3/33","58/18842",3,0.000141428692821993,0.00208399338540643,0.00137050095521003
"GO-BP","D7_vs_D3","regulation of interferon-beta production","3/33","58/18842",3,0.000141428692821993,0.00208399338540643,0.00137050095521003
"GO-BP","D7_vs_D3","MDA-5 signaling pathway","2/33","11/18842",2,0.000161997144885787,0.0023188734167937,0.00152496560448876
"GO-BP","D7_vs_D3","innate immune response-activating signaling pathway","5/33","306/18842",5,0.000178675785813019,0.00248657135256451,0.00163524915086184
"GO-BP","D7_vs_D3","positive regulation of monocyte chemotactic protein-1 production","2/33","13/18842",2,0.000229238116455856,0.00310400800930767,0.00204129531865385
"GO-BP","D7_vs_D3","activation of innate immune response","5/33","326/18842",5,0.000239680815794476,0.00316000233455349,0.00207811898458923
"GO-BP","D7_vs_D3","lymphocyte mediated immunity","5/33","339/18842",5,0.000287106886571304,0.00368821923518521,0.00242549137643234
"GO-BP","D7_vs_D3","cytoplasmic pattern recognition receptor signaling pathway","4/33","191/18842",4,0.000332637924946632,0.00416629000995657,0.00273988606600779
"GO-BP","D7_vs_D3","positive regulation of type I interferon production","3/33","80/18842",3,0.000366833537224289,0.00427477105313928,0.00281122668270321
"GO-BP","D7_vs_D3","tumor necrosis factor superfamily cytokine production","4/33","196/18842",4,0.000366896517534908,0.00427477105313928,0.00281122668270321
"GO-BP","D7_vs_D3","regulation of tumor necrosis factor superfamily cytokine production","4/33","196/18842",4,0.000366896517534908,0.00427477105313928,0.00281122668270321
"GO-BP","D7_vs_D3","chemokine (C-X-C motif) ligand 2 production","2/33","17/18842",2,0.000397948446654893,0.00443049270609114,0.00291363424100542
"GO-BP","D7_vs_D3","regulation of chemokine (C-X-C motif) ligand 2 production","2/33","17/18842",2,0.000397948446654893,0.00443049270609114,0.00291363424100542
"GO-BP","D7_vs_D3","negative regulation of cytokine production","5/33","371/18842",5,0.000434267881392068,0.00472974366472665,0.00311043127862053
"GO-BP","D7_vs_D3","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","5/33","377/18842",5,0.000467244321988398,0.00498062564502526,0.00327541932323334
"GO-BP","D7_vs_D3","monocyte chemotactic protein-1 production","2/33","19/18842",2,0.000499266165041034,0.00510474180990935,0.00335704209791286
"GO-BP","D7_vs_D3","regulation of monocyte chemotactic protein-1 production","2/33","19/18842",2,0.000499266165041034,0.00510474180990935,0.00335704209791286
"GO-BP","D7_vs_D3","positive regulation of innate immune response","5/33","396/18842",5,0.00058427029096403,0.00585438831545958,0.0038500337067735
"GO-BP","D7_vs_D3","positive regulation of response to biotic stimulus","5/33","424/18842",5,0.000795390538746633,0.00781354235121693,0.00513843629778527
"GO-BP","D7_vs_D3","negative regulation of cytokine-mediated signaling pathway","3/33","105/18842",3,0.000812431993708141,0.00782746978553421,0.00514759542572162
"GO-BP","D7_vs_D3","leukocyte mediated immunity","5/33","429/18842",5,0.000838413570693342,0.00792538111164838,0.00521198505714034
"GO-BP","D7_vs_D3","negative regulation of response to cytokine stimulus","3/33","110/18842",3,0.000929791631663054,0.00862640013820723,0.00567299767466932
"GO-BP","D7_vs_D3","defense response to Gram-positive bacterium","3/33","112/18842",3,0.000979586397546906,0.00892314154856364,0.00586814435276903
"GO-BP","D7_vs_D3","RIG-I signaling pathway","2/33","27/18842",2,0.00101586850583066,0.00908839502537786,0.00597682034445482
"GO-BP","D7_vs_D3","positive regulation of tumor necrosis factor production","3/33","116/18842",3,0.00108418333053227,0.00952940085257311,0.00626683993456326
"GO-BP","D7_vs_D3","positive regulation of tumor necrosis factor superfamily cytokine production","3/33","120/18842",3,0.00119559912105791,0.0103275027525864,0.00679169736644513
"GO-BP","D7_vs_D3","negative regulation of chemokine production","2/33","31/18842",2,0.00133992854756968,0.011378037327668,0.0074825626296041
"GO-BP","D7_vs_D3","innate immune response in mucosa","2/33","34/18842",2,0.00161126055075288,0.0132334678020851,0.0087027532767153
"GO-BP","D7_vs_D3","response to interferon-beta","2/33","34/18842",2,0.00161126055075288,0.0132334678020851,0.0087027532767153
"GO-BP","D7_vs_D3","positive regulation of cytokine production","5/33","499/18842",5,0.00164174468586618,0.0132663562519187,0.00872438177718362
"GO-BP","D7_vs_D3","negative regulation of defense response","4/33","300/18842",4,0.00179115610432743,0.0142439556867943,0.00936728255061798
"GO-BP","D7_vs_D3","regulation of immune effector process","4/33","347/18842",4,0.00303447483125479,0.0237542482884164,0.0156215562859005
"GO-BP","D7_vs_D3","mucosal immune response","2/33","49/18842",2,0.00332267420177253,0.0253167281029985,0.0166490931741538
"GO-BP","D7_vs_D3","immunoglobulin mediated immune response","3/33","172/18842",3,0.00333513783392794,0.0253167281029985,0.0166490931741538
"GO-BP","D7_vs_D3","negative regulation of type I interferon production","2/33","50/18842",2,0.0034573398744568,0.0258526459269083,0.0170015299403767
"GO-BP","D7_vs_D3","B cell mediated immunity","3/33","177/18842",3,0.00361482394838165,0.026632747031459,0.017514549471261
"GO-BP","D7_vs_D3","organ or tissue specific immune response","2/33","52/18842",2,0.00373422730884779,0.0267263983104677,0.0175761375589377
"GO-BP","D7_vs_D3","estrogen receptor signaling pathway","2/33","52/18842",2,0.00373422730884779,0.0267263983104677,0.0175761375589377
"GO-BP","D7_vs_D3","endolysosomal toll-like receptor signaling pathway","2/33","53/18842",2,0.00387643169530393,0.0273534123851728,0.0179884821442569
"GO-BP","D7_vs_D3","regulation of cytokine-mediated signaling pathway","3/33","184/18842",3,0.00402991994182023,0.0280415262618324,0.0184410079209025
